student_id,income_level,annual_income,father_name,father_education,father_occupation,mother_name,mother_education,mother_occupation,siblings,family_size,single_parent,guardian_contact,permanent_address
1,Low,108506,Mr. Vikram Pandey,Secondary,Farmer,Mrs. Sunita Pandey,Higher Secondary,Government Employee,3,6,0,+917181806895,"98, Lane, Visakhapatnam"
2,Middle,383893,Mr. Kunal Patel,No Formal Education,Salaried Employee,Mrs. Aarohi Patel,Higher Secondary,Professional,2,5,0,+917801736807,"4, Lane, Chennai"
3,Lower-Middle,160243,Mr. Ravi Desai,Primary,Small Business,Mrs. Meera Desai,Secondary,Small Business,3,7,0,+917109371233,"103, Street, Kolkata"
4,Low,81715,Mr. Kunal Hussain,Post-Graduate,Government Employee,Mrs. Ananya Hussain,Higher Secondary,Homemaker,3,7,0,+919509737073,"197, Street, Coimbatore"
5,Lower-Middle,207367,Mr. Aditya Choudhury,Graduate,Farmer,Mrs. Avni Choudhury,Higher Secondary,Daily Wage Worker,1,7,0,+918859727343,"146, Street, Ghaziabad"
6,Middle,451798,Mr. Manoj Bose,Secondary,Small Business,Mrs. Preeti Bose,No Formal Education,Daily Wage Worker,1,3,0,+918711490159,"181, Street, Jaipur"
7,Low,85528,Mr. Rohan Nair,Primary,Retired,Mrs. Diya Nair,Secondary,Small Business,1,3,0,+918377844695,"421, Lane, Bangalore"
8,Low,69342,Mr. Ankit Singh,Secondary,Professional,Mrs. Divya Singh,Higher Secondary,Government Employee,2,4,0,+918567435850,"124, Lane, Nagpur"
9,Low,75697,Mr. Aarav Bhatia,Graduate,Professional,Mrs. Priya Bhatia,Graduate,Daily Wage Worker,2,7,0,+917994698479,"171, Road, Delhi"
10,Low,117310,Mr. Kiaan Banerjee,Secondary,Small Business,Mrs. Myra Banerjee,Graduate,Small Business,0,6,0,+918451056085,"321, Road, Pune"
11,Upper-Middle,985153,Mr. Kiaan Tiwari,No Formal Education,Professional,Mrs. Kavya Tiwari,Primary,Retired,2,4,0,+917842346341,"360, Road, Coimbatore"
12,Lower-Middle,154911,Mr. Deepak Desai,Higher Secondary,Daily Wage Worker,Mrs. Aarohi Desai,Primary,Small Business,0,5,0,+917007067624,"52, Road, Ludhiana"
13,Low,85188,Mr. Pranav Ali,Higher Secondary,Retired,Mrs. Zara Ali,No Formal Education,Homemaker,2,4,1,+918492644584,"256, Road, Coimbatore"
14,Middle,541100,Mr. Vihaan Patel,Secondary,Farmer,Mrs. Nisha Patel,Primary,Self-Employed,4,4,0,+917364142131,"278, Lane, Pune"
15,Upper-Middle,747988,Mr. Abhinav Ali,Primary,Government Employee,Mrs. Ira Ali,Higher Secondary,Homemaker,1,4,0,+919167335343,"369, Road, Pune"
16,Low,100675,Mr. Karthik Khan,Higher Secondary,Retired,Mrs. Nisha Khan,Primary,Homemaker,4,7,0,+918569610037,"60, Street, Indore"
