student_id,roll_number,first_name,last_name,full_name,gender,age,date_of_birth,email,phone,city,location_type,branch,branch_name,year,semester,admission_date,status,primary_teacher_id,class_coordinator,income_level,annual_income,father_name,father_education,father_occupation,mother_name,mother_education,mother_occupation,siblings,family_size,single_parent,guardian_contact,permanent_address,current_semester_gpa,previous_semester_gpa,cumulative_gpa,gpa_trend,credits_registered_current,credits_completed_current,total_credits_registered,total_credits_completed,credit_completion_rate,first_year_gpa,first_year_credits_completed,first_year_attendance_percent,first_year_dropout_risk,registration_date,registration_delay_days,registration_status,courses_withdrawn_ever,courses_withdrawn_current,total_course_withdrawals,semester_number,courses_failed_ever,courses_repeated,academic_standing,probation_status,status_attendance_total_days,status_attendance_present_days,status_attendance_absent_days,attendance_percentage,attendance_first_half,attendance_second_half,attendance_trend,marks_percentage_mean,marks_percentage_std,marks_percentage_min,marks_percentage_max,marks_obtained_marks_sum,marks_subject_chemistry,marks_subject_computer_science,marks_subject_electronics,marks_subject_mathematics,marks_subject_mechanical_engineering,marks_subject_physics,marks_failing_count,assignment_submission_rate,assignment_late_count,assignment_grade_A,assignment_grade_B,assignment_grade_C,assignment_grade_D,behavior_negative_count,behavior_positive_count,behavior_total_count,library_visits,library_hours,fee_total_paid,fee_pending_count,fee_late_count,total_activities,extra_participates,extra_category_Academic,extra_category_Cultural,extra_category_Other,extra_category_Social,extra_category_Sports,extra_category_Technical,extra_leadership_roles,extra_hours_per_week,extra_total_events,attendance_status_extra_sessions_total,attendance_status_extra_sessions_present,extra_attendance_percentage,dropout_risk_score,dropout_risk
1,CS211001,Siddharth,Pandey,Siddharth Pandey,Male,18,2007-03-01,siddharth.pandey1@student.college.edu,917879110406,Visakhapatnam,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,108506,Mr. Vikram Pandey,Secondary,Farmer,Mrs. Sunita Pandey,Higher Secondary,Government Employee,3,6,0,917181806895,"98, Lane, Visakhapatnam",9.06,6.58,9.06,Stable,18,17,18,17,94.44,9.06,17,65.29,Low,2025-07-28,1,On Time,0,0,0,1,0,0,Excellent,No,40,30,10,75.0,80.0,70.0,-10.0,82.08472222222223,12.229297488551502,51.66,100.0,496.74,81.74499999999999,88.065,80.42833333333333,84.13,75.34,82.8,0.0,75.0,2,1,2,2,1,1.0,1.0,2.0,6.0,7.0,30000,2,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Low Risk
2,CS211002,Ritvik,Patel,Ritvik Patel,Male,17,2007-02-05,ritvik.patel2@student.college.edu,919513585923,Chennai,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Middle,383893,Mr. Kunal Patel,No Formal Education,Salaried Employee,Mrs. Aarohi Patel,Higher Secondary,Professional,2,5,0,917801736807,"4, Lane, Chennai",6.71,6.58,6.71,Stable,18,16,18,16,88.89,6.71,16,60.06,Medium,2025-07-28,1,On Time,0,1,1,1,1,1,Average,No,40,39,1,97.5,95.0,100.0,5.0,51.57666666666667,15.157761048387062,21.64,84.41,304.73,47.00666666666666,48.49666666666667,61.083333333333336,36.45166666666667,57.76499999999999,58.656666666666666,10.0,100.0,3,1,5,1,1,0.0,1.0,1.0,16.0,18.0,100000,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Low Risk
3,CS211003,Ayaan,Desai,Ayaan Desai,Male,19,2007-04-26,ayaan.desai3@student.college.edu,917509331178,Kolkata,Semi-Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Lower-Middle,160243,Mr. Ravi Desai,Primary,Small Business,Mrs. Meera Desai,Secondary,Small Business,3,7,0,917109371233,"103, Street, Kolkata",7.12,6.58,7.12,Stable,20,17,20,17,85.0,7.12,17,92.84,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Good,No,40,23,17,57.49999999999999,65.0,50.0,-15.0,80.28611111111111,16.1086509637839,38.48,100.0,485.88,76.55666666666667,86.25333333333333,80.44666666666667,72.32666666666667,87.30166666666666,78.83166666666666,1.0,62.5,2,0,1,1,3,0.0,1.0,1.0,10.0,7.0,65000,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Medium Risk
4,CS211004,Prisha,Hussain,Prisha Hussain,Female,18,2007-10-04,prisha.hussain4@student.college.edu,918198983067,Coimbatore,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,81715,Mr. Kunal Hussain,Post-Graduate,Government Employee,Mrs. Ananya Hussain,Higher Secondary,Homemaker,3,7,0,919509737073,"197, Street, Coimbatore",4.7,6.58,4.7,Stable,18,14,18,14,77.78,4.7,14,86.59,High,2025-08-06,10,Very Late,0,0,0,1,3,0,Below Average,Yes,40,38,2,95.0,100.0,90.0,-10.0,62.69722222222222,16.52826282654932,31.91,90.74,369.36,63.56666666666666,67.02333333333333,61.81333333333333,49.541666666666664,65.815,68.42333333333333,3.0,62.5,1,1,2,2,0,1.0,1.0,2.0,10.0,7.0,100000,0,3.0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,72.0,36.0,50.0,30,Low Risk
5,CS211005,Samar,Choudhury,Samar Choudhury,Male,18,2007-05-07,samar.choudhury5@student.college.edu,918548983244,Ghaziabad,Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Lower-Middle,207367,Mr. Aditya Choudhury,Graduate,Farmer,Mrs. Avni Choudhury,Higher Secondary,Daily Wage Worker,1,7,0,918859727343,"146, Street, Ghaziabad",3.64,6.58,3.64,Stable,24,12,24,12,50.0,3.64,12,83.75,High,2025-07-28,1,On Time,0,0,0,1,3,2,Poor,Yes,40,32,8,80.0,80.0,80.0,0.0,44.41222222222222,14.435955727896156,14.94,79.69,261.43,33.69833333333333,51.806666666666665,58.60166666666667,37.971666666666664,42.64333333333334,41.751666666666665,14.0,62.5,2,2,2,1,0,1.0,1.0,2.0,6.0,4.0,100000,0,2.0,3,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.666666666666667,23.0,32.0,21.0,65.625,50,Medium Risk
6,CS211006,Sneha,Bose,Sneha Bose,Female,19,2007-07-08,sneha.bose6@student.college.edu,919889208714,Jaipur,Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Middle,451798,Mr. Manoj Bose,Secondary,Small Business,Mrs. Preeti Bose,No Formal Education,Daily Wage Worker,1,3,0,918711490159,"181, Street, Jaipur",6.78,6.58,6.78,Stable,20,17,20,17,85.0,6.78,17,60.64,Medium,2025-07-27,0,On Time,0,0,0,1,1,0,Average,No,40,29,11,72.5,75.0,70.0,-5.0,80.97194444444445,13.578533440575436,55.49,100.0,482.65,87.075,70.97333333333333,82.35166666666667,82.94,75.88,86.61166666666666,0.0,100.0,0,3,3,2,0,1.0,1.0,2.0,8.0,15.0,100000,0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,Medium Risk
7,CS211007,Nikhil,Nair,Nikhil Nair,Male,19,2007-07-18,nikhil.nair7@student.college.edu,917327360856,Bangalore,Semi-Urban,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,85528,Mr. Rohan Nair,Primary,Retired,Mrs. Diya Nair,Secondary,Small Business,1,3,0,918377844695,"421, Lane, Bangalore",7.85,6.58,7.85,Declining,18,15,18,15,83.33,7.85,15,74.09,Low,2025-07-28,1,On Time,0,1,1,1,0,0,Good,No,40,34,6,85.0,80.0,90.0,10.0,67.51833333333333,16.992863796311674,29.39,100.0,398.37,67.405,70.62833333333333,59.59,68.74166666666666,71.20666666666666,67.53833333333334,2.0,87.5,1,0,2,3,2,1.0,1.0,2.0,15.0,15.0,35000,3,0.0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,16.0,14.0,87.5,10,Low Risk
8,CS211008,Aanya,Singh,Aanya Singh,Female,19,2007-10-16,aanya.singh8@student.college.edu,917709201069,Nagpur,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,69342,Mr. Ankit Singh,Secondary,Professional,Mrs. Divya Singh,Higher Secondary,Government Employee,2,4,0,918567435850,"124, Lane, Nagpur",4.81,6.58,4.81,Stable,18,11,18,11,61.11,4.81,11,71.0,High,2025-07-27,0,On Time,0,0,0,1,4,2,Below Average,Yes,40,32,8,80.0,60.0,100.0,40.0,49.66777777777778,14.969927590455876,13.73,81.74,287.84000000000003,46.906666666666666,50.458333333333336,48.48833333333334,53.99333333333333,47.0,51.16,11.0,87.5,2,0,5,2,0,1.0,1.0,2.0,12.0,9.0,100000,0,2.0,3,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,9.333333333333334,29.0,56.0,52.0,92.85714285714286,30,Low Risk
9,CS211009,Simran,Bhatia,Simran Bhatia,Female,18,2007-09-01,simran.bhatia9@student.college.edu,919724778297,Delhi,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,75697,Mr. Aarav Bhatia,Graduate,Professional,Mrs. Priya Bhatia,Graduate,Daily Wage Worker,2,7,0,917994698479,"171, Road, Delhi",7.18,6.58,7.18,Stable,20,17,20,17,85.0,7.18,17,68.06,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Good,No,40,30,10,75.0,75.0,75.0,0.0,46.074444444444445,14.348523954837294,16.34,77.14,267.21,45.62166666666667,43.181666666666665,48.13333333333333,45.16166666666667,40.9,53.44833333333333,12.0,100.0,1,4,3,0,1,1.0,1.0,2.0,13.0,20.0,70000,2,2.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,10,Low Risk
10,CS211010,Yash,Banerjee,Yash Banerjee,Male,19,2007-10-08,yash.banerjee10@student.college.edu,918958145667,Pune,Rural,CS,Computer Science,1,1,2025-08-01,Active,1,Mr. Vinod Khanna,Low,117310,Mr. Kiaan Banerjee,Secondary,Small Business,Mrs. Myra Banerjee,Graduate,Small Business,0,6,0,918451056085,"321, Road, Pune",7.04,6.58,7.04,Stable,24,20,24,20,83.33,7.04,20,93.89,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Good,No,40,27,13,67.5,70.0,65.0,-5.0,60.46555555555556,14.864890071083499,29.98,82.41,346.71,64.89666666666666,52.28,59.73166666666666,65.08666666666666,59.49666666666667,61.30166666666667,5.0,75.0,0,3,3,0,0,1.0,1.0,2.0,13.0,9.0,100000,0,2.0,3,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,9.0,40.0,27.0,67.5,15,Low Risk
